file,chunk_id,content
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,1,"Vol.:(0123456789)Multimedia Tools and Applications https://doi.org/10.1007/s11042-021-11399-6 1 3 Handwritten Kazakh and Russian (HKR) database for text recognition Daniyar Nurseitov1,3  Kairat Bostanbekov1,3  Daniyar Kurmankhojayev2  Anel Alimova1,3  Abdelrahman Abdallah1,3  Rassul Tolegenov3 Received: 25 November 2020 / Revised: 29 July 2021 / Accepted: 2 August 2021  The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2021 Abstract In this paper, we introduce a large scale dataset, called HKR, to address challenging detection and recognition problems of handwritten Russian and Kazakh text in the scanned documents."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,2,We present a new Russian and Kazakh database (with about 95% of Russian and 5% of Kazakh words/sentences respectively) for offline handwriting recognition.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,3,A few pre-processing and segmentation procedures have been developed together with the database. The database is written in Cyrillic and shares the same 33 characters.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,4,"Besides these characters, the Kazakh alphabet also contains 9 additional specific characters. This dataset is a collection of forms."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,5,The sources of all the forms in the datasets were generated by LaTeXwhich subsequently was filled out by persons with their handwriting. The database consists of more than 1500 filled forms.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,6,"There are approximately 63000 sentences, more than 715699 symbols produced by approximately 200 different writers."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,7,It can serve researchers in the field of handwriting recognition tasks by using deep and machine learning.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,8,"For experiments, we used several popular text recognition methods for word and line recognition like CTC-based and attention-based methods. The results indicate the diversity of HKR."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,9,The dataset is available at https:// github. com/ abdoe lsaye d2016/ HKR_ Datas et.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,10,"Keywords Document analysis and recognition  Handwritten Russian and Kazakh text recognition  Benchmark dataset 1 Introduction Today, handwriting recognition is a very urgent task."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,11,A solution to this problem would automate the business processes of many companies.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,12,"One of the clear examples is a postal company, where the task of sorting a large volume of letters and parcels is an acute issue."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,13,"* Abdelrahman Abdallah abdoelsayed2016@gmail.com 1 KazMunayGas Engineering LLP, Nur -Sultan, Kazakhstan 2 Hong Kong Polytechnic University, Hung Hom, Hong Kong 3 Satbayev University Almaty, Almaty, Kazakhstan Content courtesy of Springer Nature, terms of use apply."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,14,"Rights reserved. Multimedia Tools and Applications 1 3 Many researchers have made different types of handwritten text recognition systems for different languages such as English [19, 35, 59], Chinese [54, 60], Arabic [43], Japanese [14], Bangla [8], Malyalam [31], etc."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,15,"Having said that, the recognition problems of these scripts cannot be considered to be entirely solved. Any language contains a large number of words."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,16,"For example, dictionaries of the Russian and Kazakh languages on average register more than 100,000 words, and the Oxford English dictionary more than 300,000 words."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,17,"In this regard, collecting an exhaustive database of handwritten words, which include all words with a large variation in handwriting, seems almost impossible."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,18,"In other words, there is always a word that the system cannot recognize. To the best of our knowledge, the analogs of handwritten text database for Russian and Kazakh languages do not exist."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,19,"To create such a database, we decided to adopt the general principles of data collection and storage described in the IAM Database [39]."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,20,"In the context of handwritten address recognition, it is necessary to identify the many key words that can occur in the address."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,21,"In this paper, we describe the first version of a database that contains Russian words and also present a new database for offline handwriting recognition."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,22,The collection of this database combines the following steps.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,23,"As an initial step, we collected the first data set with our own hands, since it is almost impossible to find such a set publicly available."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,24,"This dataset was obtained by using forms, which consisted of machine-typed texts, and empty lines next to those texts. These empty lines were subsequently filled out by persons with their handwriting."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,25,"It can serve as a basis for a variety of handwriting recognition tasks. Next, the same way we collected handwritten Kazakh and Russian alphabet in Cyrillic."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,26,The last set of data came from handwritten samples of poems also filled by our own hands in Russian language.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,27,"Overall, the databases were produced by approximately 200 different writers, each having 5 to 10 forms (made up of poem and keyword texts) to fill."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,28,"For these purposes, we determined the minimum set of words, which includes all the names of cities, towns, villages, districts, and streets in Kazakhstan, and created layouts for filling out forms."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,29,Forms were created in such a way as to simplify the process of cutting words from the form as much as possible (Fig. 1).
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,30,"Extensive experiments related to the pre-processing of forms were also carried out in order to automatically identify forms, determine the contours of forms, compensate rotations, and also remove edge artifacts at the boundaries of segmented words."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,31,"To solve the problem of recognition and processing of natural languages (natural language processing), which consists of optical recognition of characters of the manuscript texts in Russian and Kazakh languages, innovative software is being developed using stateof-the-art neural network-based machine learning methods."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,32,The following section defines the related work on Handwriting Databases. Section 3 presents the Data collection and storage phases as one of the most time consuming and costly stages.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,33,Section 4 provides Automated Labeling and Words Segmentation. Section 5 provides further characteristics of the Database.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,34,Section 6 provides Experiment Result on the HKR dataset and conclusion and future work are given in Sect. 7.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,35,"2 Related work The IAM Handwriting Database [39, 40] comprises handwritten samples in English that can be used to evaluate systems like text segmentation, handwriting recognition, writer identification and writer verification."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,36,"The database is developed on the Lancaster-Oslo/ Content courtesy of Springer Nature, terms of use apply."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,37,Rights reserved.Multimedia Tools and Applications 1 3 Bergen Corpus and comprises forms where the contributors copied a given text in their natural unconstrained handwriting.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,38,Each form was subsequently scanned at 300 dpi and saved as a gray level (8-bit) PNG image.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,39,"The IAM Handwriting Database 3.0 includes contributions from 657 writers, making a total of 1539 handwritten pages comprising 5685 sentences, 13,353 text lines, and 115,320 words."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,40,"The database is labeled at the sentence, line, and word levels."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,41,"It has been widely used in word spotting [18, 21, 57, 58], writer identification [7, 11, 13, 30, 51], handwriting gender prediction [37, 38], handwritten text segmentation [46, 47, 61] and offline handwriting recognition [12, 16, 22, 26]."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,42,RIMES [24] is a representative database of an industrial application.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,43,The main idea of developing this database was to collect handwritten samples similar to those that are sent to different companies by postal mail and fax by individuals.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,44,Each contributor was assigned a fictitious identity and a maximum of up to five different scenarios from a set of nine themes.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,45,These themes included real-world scenarios like damage declaration or modification of contract.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,46,The subjects were required to compose a letter for a given scenario using their own words and layout on white paper using black ink.
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,47,"A total of 1300 volunteers contributed to data collection, providing 12,723 pages corresponding to 5605 mails."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,48,"Each mail contains two to three pages, including the letter written by the contributor, a form with information about the letter, and an optional fax sheet."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,49,"The pages were scanned, and the complete database was annotated to support evaluation of tasks like document layout Fig. 1 One of the poem form in the dataset."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,50,"The database consists of more than 1500 filled forms Content courtesy of Springer Nature, terms of use apply. Rights reserved."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,51,"Multimedia Tools and Applications 1 3 analysis [41], mail classification [32], handwriting recognition [25] and writer recognition [51]."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,52,"The National Institute of Standards and Technology, NIST, developed a series of databases [23] of handwritten characters and digits supporting tasks like isolation of fields, detection and removal of boxes in forms, character segmentation, and recognition."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,53,"The form comprises boxes containing writer information, 28 boxes for numbers and 2 for alphabets, and 1 box for a paragraph of text."
./data/pdf/62_2021_Handwritten Kazakh and Russian HKR database.pdf,54,The NIST Special Database 1 comprised samples contributed by 2100 writers.
